,code,name,date,weight
145,300253,卫宁健康,2017-06-01,0.22
146,600428,中远海特,2017-06-01,0.14
147,603555,贵人鸟,2017-06-01,0.07
148,600435,北方导航,2017-06-01,0.27
149,603198,迎驾贡酒,2017-06-01,0.12
150,002332,仙琚制药,2017-06-01,0.11
151,002392,北京利尔,2017-06-01,0.1
152,002073,软控股份,2017-06-01,0.14
153,601010,文峰股份,2017-06-01,0.15
154,603589,口子窖,2017-06-01,0.3
155,000806,银河生物,2017-06-01,0.21
156,002482,广田集团,2017-06-01,0.13
157,600112,*ST天成,2017-06-01,0.08
158,601886,江河集团,2017-06-01,0.14
159,000997,新 大 陆,2017-06-01,0.36
160,600316,洪都航空,2017-06-01,0.17
161,600160,巨化股份,2017-06-01,0.26
162,600388,龙净环保,2017-06-01,0.33
163,000939,凯迪生态,2017-06-01,0.21
164,002491,通鼎互联,2017-06-01,0.26
165,600750,江中药业,2017-06-01,0.17
166,600881,亚泰集团,2017-06-01,0.26
167,000669,金鸿能源,2017-06-01,0.15
168,000417,合肥百货,2017-06-01,0.12
169,002690,美亚光电,2017-06-01,0.14
170,300297,蓝盾股份,2017-06-01,0.13
171,600307,酒钢宏兴,2017-06-01,0.23
172,600664,哈药股份,2017-06-01,0.23
173,600426,华鲁恒升,2017-06-01,0.33
174,002440,闰土股份,2017-06-01,0.19
175,002375,亚厦股份,2017-06-01,0.19
176,002317,众生药业,2017-06-01,0.15
177,002019,亿帆医药,2017-06-01,0.22
178,002277,友阿股份,2017-06-01,0.15
179,300136,信维通信,2017-06-01,0.66
180,000513,丽珠集团,2017-06-01,0.24
181,601929,吉视传媒,2017-06-01,0.2
182,000552,靖远煤电,2017-06-01,0.13
183,600528,中铁工业,2017-06-01,0.35
184,600981,汇鸿集团,2017-06-01,0.05
185,600079,人福医药,2017-06-01,0.49
186,600098,广州发展,2017-06-01,0.16
187,600720,祁连山,2017-06-01,0.13
188,600141,兴发集团,2017-06-01,0.12
189,600397,安源煤业,2017-06-01,0.07
190,002028,思源电气,2017-06-01,0.25
191,600325,华发股份,2017-06-01,0.3
192,600039,四川路桥,2017-06-01,0.2
193,000049,德赛电池,2017-06-01,0.18
194,600755,厦门国贸,2017-06-01,0.27
195,600059,古越龙山,2017-06-01,0.12
196,600496,精工钢构,2017-06-01,0.16
197,603077,和邦生物,2017-06-01,0.16
198,000897,津滨发展,2017-06-01,0.17
199,000572,海马汽车,2017-06-01,0.16
200,000652,泰达股份,2017-06-01,0.15
201,000078,海王生物,2017-06-01,0.26
202,002681,奋达科技,2017-06-01,0.12
203,600026,中远海能,2017-06-01,0.24
204,600687,刚泰控股,2017-06-01,0.21
205,000959,首钢股份,2017-06-01,0.29
206,601678,滨化股份,2017-06-01,0.15
207,600572,康恩贝,2017-06-01,0.23
208,000697,炼石有色,2017-06-01,0.25
209,000988,华工科技,2017-06-01,0.23
210,300039,上海凯宝,2017-06-01,0.13
211,600094,大名城,2017-06-01,0.24
212,300199,翰宇药业,2017-06-01,0.19
213,000723,美锦能源,2017-06-01,0.07
214,600787,中储股份,2017-06-01,0.23
215,600158,中体产业,2017-06-01,0.26
216,600587,新华医疗,2017-06-01,0.15
217,300202,聚龙股份,2017-06-01,0.13
218,600088,中视传媒,2017-06-01,0.06
219,600410,华胜天成,2017-06-01,0.2
220,600831,广电网络,2017-06-01,0.09
221,600171,上海贝岭,2017-06-01,0.14
222,600522,中天科技,2017-06-01,0.58
223,002698,博实股份,2017-06-01,0.08
224,600200,江苏吴中,2017-06-01,0.17
225,002657,中科金财,2017-06-01,0.15
226,002670,国盛金控,2017-06-01,0.08
227,600826,兰生股份,2017-06-01,0.1
228,600487,亨通光电,2017-06-01,0.58
229,300244,迪安诊断,2017-06-01,0.26
230,600338,西藏珠峰,2017-06-01,0.12
231,002745,木林森,2017-06-01,0.07
232,603806,福斯特,2017-06-01,0.07
233,603001,奥康国际,2017-06-01,0.08
234,601908,京运通,2017-06-01,0.08
235,601801,皖新传媒,2017-06-01,0.15
236,601717,郑煤机,2017-06-01,0.19
237,601168,西部矿业,2017-06-01,0.35
238,601016,节能风电,2017-06-01,0.09
239,601012,隆基股份,2017-06-01,0.49
240,600850,华东电脑,2017-06-01,0.12
241,600811,东方集团,2017-06-01,0.25
242,600776,东方通信,2017-06-01,0.09
243,600682,南京新百,2017-06-01,0.44
244,600673,东阳光科,2017-06-01,0.35
245,600657,信达地产,2017-06-01,0.12
246,600655,豫园商城,2017-06-01,0.32
247,600643,爱建集团,2017-06-01,0.6
248,600601,方正科技,2017-06-01,0.21
249,600565,迪马股份,2017-06-01,0.22
250,600468,百利电气,2017-06-01,0.06
251,600460,士兰微,2017-06-01,0.13
252,600425,*ST青松,2017-06-01,0.07
253,600289,亿阳信通,2017-06-01,0.14
254,600277,亿利洁能,2017-06-01,0.18
255,600187,国中水务,2017-06-01,0.18
256,600175,美都能源,2017-06-01,0.17
257,600086,东方金钰,2017-06-01,0.21
258,600022,山东钢铁,2017-06-01,0.24
259,300324,旋极信息,2017-06-01,0.29
260,300291,华录百纳,2017-06-01,0.18
261,300147,香雪制药,2017-06-01,0.13
262,300134,大富科技,2017-06-01,0.25
263,300088,长信科技,2017-06-01,0.4
264,002699,美盛文化,2017-06-01,0.09
