code,name,count,score,pe,pb,r,r1,r3,r5,roe2017-1,roe2016,roe2015,roe2014,roe2013,roe2012
A601166,兴业银行,5,12,4.9,0.9,19.07,17.09,18.39,20.16,4.29,15.38,16.0,18.27,20.62,20.47
A600016,民生银行,5,12,5.2,0.85,18.68,16.42,18.75,21.70,3.97,13.96,15.3,18.54,21.38,23.03
